date,time,open,high,low,close,volume
2019.11.12,00:00,1.10323,1.10385,1.10025,1.10088,31441
2019.11.13,00:00,1.10089,1.10202,1.09953,1.10053,34467
2019.11.14,00:00,1.10052,1.10273,1.09890,1.10212,32577
2019.11.15,00:00,1.10212,1.10567,1.10145,1.10515,27792
2019.11.18,00:00,1.10510,1.10899,1.10477,1.10718,28482
2019.11.19,00:00,1.10718,1.10838,1.10624,1.10780,26644
2019.11.20,00:00,1.10777,1.10813,1.10530,1.10723,34131
2019.11.21,00:00,1.10723,1.10969,1.10521,1.10581,31829
2019.11.22,00:00,1.10580,1.10875,1.10144,1.10182,32645
2019.11.25,00:00,1.10151,1.10320,1.10035,1.10126,27995
2019.11.26,00:00,1.10129,1.10255,1.10072,1.10194,28638
2019.11.27,00:00,1.10194,1.10246,1.09923,1.09989,29482
2019.11.28,00:00,1.09987,1.10178,1.09986,1.10075,20746
2019.11.29,00:00,1.10071,1.10282,1.09810,1.10152,27604
2019.12.02,00:00,1.10241,1.10910,1.10029,1.10784,31480
2019.12.03,00:00,1.10782,1.10934,1.10658,1.10809,32021
2019.12.04,00:00,1.10809,1.11161,1.10667,1.10775,35509
2019.12.05,00:00,1.10772,1.11079,1.10771,1.11042,27845
2019.12.06,00:00,1.11042,1.11097,1.10396,1.10595,27888
2019.12.09,00:00,1.10574,1.10779,1.10533,1.10635,21381
2019.12.10,00:00,1.10635,1.10976,1.10627,1.10919,27293
2019.12.11,00:00,1.10914,1.11447,1.10701,1.11294,33856
2019.12.12,00:00,1.11294,1.11541,1.11030,1.11286,44761
2019.12.13,00:00,1.11294,1.11993,1.11032,1.11173,63101
2019.12.16,00:00,1.11259,1.11580,1.11226,1.11434,30624
2019.12.17,00:00,1.11435,1.11745,1.11291,1.11487,35410
2019.12.18,00:00,1.11483,1.11541,1.11102,1.11127,31490
2019.12.19,00:00,1.11126,1.11442,1.11072,1.11204,34743
2019.12.20,00:00,1.11201,1.11246,1.10662,1.10751,29734
2019.12.23,00:00,1.10750,1.10958,1.10698,1.10895,29202
2019.12.24,00:00,1.10895,1.10939,1.10690,1.10851,22030
2019.12.26,00:00,1.10900,1.11088,1.10820,1.10974,10530
2019.12.27,00:00,1.10973,1.11882,1.10940,1.11760,36676
2019.12.30,00:00,1.11754,1.12206,1.11713,1.11985,36372
2019.12.31,00:00,1.11985,1.12392,1.11976,1.12154,32207
2020.01.02,00:00,1.12132,1.12143,1.11635,1.11722,30404
2020.01.03,00:00,1.11722,1.11797,1.11250,1.11558,39449
2020.01.06,00:00,1.11646,1.12054,1.11571,1.11968,32448
2020.01.07,00:00,1.11960,1.11975,1.11335,1.11526,35909
2020.01.08,00:00,1.11529,1.11681,1.11016,1.11053,50619
2020.01.09,00:00,1.11053,1.11203,1.10923,1.11051,32024
2020.01.10,00:00,1.11051,1.11291,1.10850,1.11212,30181
2020.01.13,00:00,1.11162,1.11469,1.11127,1.11338,25932
2020.01.14,00:00,1.11338,1.11444,1.11042,1.11274,31762
2020.01.15,00:00,1.11284,1.11633,1.11185,1.11495,29102
2020.01.16,00:00,1.11492,1.11726,1.11278,1.11358,30453
2020.01.17,00:00,1.11352,1.11425,1.10862,1.10893,28089
2020.01.20,00:00,1.10920,1.11024,1.10766,1.10944,18552
2020.01.21,00:00,1.10934,1.11180,1.10809,1.10819,29051
2020.01.22,00:00,1.10816,1.10983,1.10701,1.10920,30270
2020.01.23,00:00,1.10920,1.11087,1.10363,1.10542,37577
2020.01.24,00:00,1.10542,1.10617,1.10196,1.10255,32850
2020.01.27,00:00,1.10295,1.10375,1.10096,1.10184,33777
2020.01.28,00:00,1.10185,1.10251,1.09977,1.10220,28331
2020.01.29,00:00,1.10219,1.10277,1.09922,1.10099,28043
2020.01.30,00:00,1.10098,1.10393,1.10068,1.10312,34415
2020.01.31,00:00,1.10313,1.10951,1.10168,1.10943,37949
2020.02.03,00:00,1.10907,1.10927,1.10349,1.10593,35264
2020.02.04,00:00,1.10590,1.10642,1.10327,1.10434,32443
2020.02.05,00:00,1.10436,1.10478,1.09935,1.09989,33576
2020.02.06,00:00,1.09989,1.10138,1.09643,1.09827,29014
2020.02.07,00:00,1.09827,1.09849,1.09418,1.09430,38494
2020.02.10,00:00,1.09424,1.09574,1.09076,1.09105,28211
2020.02.11,00:00,1.09105,1.09247,1.08912,1.09145,30977
2020.02.12,00:00,1.09146,1.09255,1.08651,1.08728,31063
2020.02.13,00:00,1.08716,1.08887,1.08339,1.08408,34413
2020.02.14,00:00,1.08408,1.08612,1.08272,1.08301,29198
2020.02.17,00:00,1.08397,1.08509,1.08291,1.08346,21012
2020.02.18,00:00,1.08345,1.08372,1.07852,1.07907,34567
2020.02.19,00:00,1.07906,1.08117,1.07821,1.08039,33315
2020.02.20,00:00,1.08033,1.08211,1.07775,1.07838,40984
2020.02.21,00:00,1.07841,1.08634,1.07835,1.08474,40454
2020.02.24,00:00,1.08250,1.08720,1.08049,1.08520,54843
2020.02.25,00:00,1.08519,1.08901,1.08300,1.08806,60638
2020.02.26,00:00,1.08808,1.09085,1.08551,1.08804,38770
2020.02.27,00:00,1.08804,1.10065,1.08729,1.09997,43911
2020.02.28,00:00,1.09993,1.10529,1.09509,1.10269,52707
